Gene ID	Gene Accession	Gene name	Reaction id	Reaction EC	Enzymatic activity	Evidence
G1G01-3367	PP_3148		GLUTAMINESYN-RXN	6.3.1.2	glutamine synthetase	No Evidence Code
G1G01-4677	PP_4399		GLUTAMINESYN-RXN	6.3.1.2	glutamine synthetase	No Evidence Code
G1G01-4855	PP_4547		GLUTAMINESYN-RXN	6.3.1.2	glutamine synthetase	No Evidence Code
G1G01-5391	PP_5046	glnA	GLUTAMINESYN-RXN	6.3.1.2	glutamine synthetase	No Evidence Code
G1G01-747	PP_0675	gdhA	GLUTDEHYD-RXN	1.4.1.4	NADP-dependent glutamate dehydrogenase	No Evidence Code
G1G01-5419	PP_5075	gltD	GLUTDEHYD-RXN	1.4.1.4	L-glutamate synthase	No Evidence Code
G1G01-5420	PP_5076	gltB	GLUTDEHYD-RXN	1.4.1.4	L-glutamate synthase	No Evidence Code
G1G01-2218	PP_2080	gdhB	GLUTAMATE-DEHYDROGENASE-RXN	1.4.1.2	NAD-specific glutamate dehydrogenase	No Evidence Code
G1G01-2102	PP_1977	gltX	GLURS-RXN	6.1.1.17	glutamate--tRNA ligase	No Evidence Code
G1G01-807	PP_0732	hemA	GLUTRNAREDUCT-RXN	1.2.1.70	glutamyl-tRNA reductase	No Evidence Code
G1G01-5121	PP_4784	hemL	GSAAMINOTRANS-RXN	5.4.3.8	glutamate-1-semialdehyde 2,1-aminomutase	No Evidence Code
G1G01-3092	PP_2913	hemB	PORPHOBILSYNTH-RXN	4.2.1.24	5-aminolevulinate dehydratase	No Evidence Code
G1G01-3552	PP_3322	hemBB	PORPHOBILSYNTH-RXN	4.2.1.24	porphobilinogen synthase	No Evidence Code
G1G01-204	PP_0186	hemC	OHMETHYLBILANESYN-RXN	2.5.1.61	porphobilinogen deaminase	No Evidence Code
G1G01-205	PP_0187	hemD	UROGENIIISYN-RXN	4.2.1.75	uroporphyrinogen-III synthase	No Evidence Code
G1G01-5011	PP_4692		ASPAMINOTRANS-RXN	2.6.1.1	aspartate/tyrosine/aromatic aminotransferase	No Evidence Code
G1G01-2098	PP_1972	tyrB	ASPAMINOTRANS-RXN	2.6.1.1	aromatic amino acid aminotransferase	No Evidence Code
G1G01-4040	PP_3786	aspC	ASPAMINOTRANS-RXN	2.6.1.1	aminotransferase	No Evidence Code
G1G01-5694	PP_5338	aspA	ASPARTASE-RXN	4.3.1.1	aspartate ammonia-lyase	No Evidence Code
