Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0812_15,R1,5775.66,0.000558583,-3.252912545
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0812_15,R2,4750.75,0.000452923,-3.343975979
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0812_15,R3,6234.8,0.00060731,-3.216589302
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,R1,771205.6667,0.074585782,-1.127343952
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,R2,808732,0.077102147,-1.112933529
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,R3,639005.6667,0.062243339,-1.20590712
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,R1,520067.5533,0.050297407,-1.298454405
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,R2,596375.3333,0.056856683,-1.245218484
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,R3,624515.3333,0.060831885,-1.215868723
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0812_15,R1,60309.68667,0.005832744,-2.234127092
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0812_15,R2,4750.75,0.000452923,-3.343975979
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0812_15,R3,6234.8,0.00060731,-3.216589302
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,R1,453520,0.043861379,-1.35791772
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,R2,451498.6667,0.043044564,-1.366081684
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,R3,409901,0.039927043,-1.398732851
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,R1,464103.1667,0.044884911,-1.347899632
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,R2,200195.15,0.019086021,-1.719284604
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,R3,508858,0.049566103,-1.304815223
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,R1,145794.3667,0.014100242,-1.85077342
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,R2,78339.58333,0.007468667,-2.126756899
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,R3,88911.13333,0.008660527,-2.062455683
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,R1,7700.88,0.000744777,-3.127973808
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,R2,37206.75,0.003547183,-2.45011642
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,R3,78662.13333,0.007662207,-2.115646109
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,R1,43458.10667,0.004202973,-2.376443363
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,R2,67969.51667,0.006480015,-2.188423975
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,R3,73864.13333,0.007194851,-2.142978223
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,R1,422922.6667,0.040902212,-1.388253202
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,R2,419503,0.039994191,-1.398003085
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,R3,438135,0.04267722,-1.369803881
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,R1,438924.2333,0.042449775,-1.372124605
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,R2,455906.6667,0.04346481,-1.361862213
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,R3,476791,0.046442567,-1.33308378
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0812_15,R1,176582.22,0.017077835,-1.767567192
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0812_15,R2,156994.15,0.014967364,-1.824854687
A0A140FW42,A0A140FW42_PSEPK,Pp_5488,Uncharacterized protein,PP_0812_15,R3,86938.63333,0.008468393,-2.07219902
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0812_15,R1,83763.45333,0.008101033,-2.09145959
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0812_15,R2,30045.8,0.002864479,-2.542954384
A0A140FW43,A0A140FW43_PSEPK,Pp_5489,Uncharacterized protein,PP_0812_15,R3,233779.9667,0.0227717,-1.642604537
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,R1,170812.9533,0.01651987,-1.781993362
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,R2,159773.5833,0.015232347,-1.817233181
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,R3,131951.2,0.012852911,-1.890998485
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0812_15,R1,412498.8867,0.039894095,-1.399091383
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0812_15,R2,409833.8333,0.039072361,-1.408130348
A0A140FW85,A0A140FW85_PSEPK,Pp_5531,DUF1993 domain-containing protein,PP_0812_15,R3,336281.8667,0.032756057,-1.48470838
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,R1,146628.7533,0.014180939,-1.848295022
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,R2,144392.75,0.013765983,-1.861192769
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,R3,187093.4333,0.018224126,-1.739353284
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,R1,104954.12,0.010150451,-1.993514672
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,R2,104930.0167,0.010003721,-1.999838414
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812_15,R3,108811.8,0.010598982,-1.974735835
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,R1,59906.15333,0.005793717,-2.23704273
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,R2,46791.71667,0.004460986,-2.350569178
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812_15,R3,44784.4,0.004362294,-2.360285069
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,R1,276729.1,0.026763362,-1.572459333
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,R2,302668.3333,0.028855515,-1.539771171
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812_15,R3,256313.1667,0.024966582,-1.602640913
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0812_15,R1,5775.66,0.000558583,-3.252912545
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0812_15,R2,8606.666667,0.000820534,-3.085903173
A0A140FWJ4,A0A140FWJ4_PSEPK,Pp_5641,Uncharacterized protein,PP_0812_15,R3,6234.8,0.00060731,-3.216589302
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,R1,5775.66,0.000558583,-3.252912545
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812_15,R2,4750.75,0.000452923,-3.343975979
