,pp,Entry_x,Reviewed,Entry Name,Protein names,Gene Names,Gene Ontology (molecular function),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (biological process),New_tag,Preferred_name,Nickname,Description,COG,GOs,EC,KEGG_ko,KEGG_Reaction,pref_first3,in_gsm,gsm_rxns,gsm_subsystems,num_rxns,num_subsystems,subsystem1,retap_target,isoprenol_mean,dCas9_expr,pass_dbtl0_filter,target_control_ratio,pass_dbtl3
0,PP_0001,P0A151,reviewed,PARB_PSEPK,Probable chromosome-partitioning protein ParB,parB PP_0001,DNA binding [GO:0003677],DNA binding [GO:0003677]; chromosome segregation [GO:0007059],GO:0003677; GO:0007059,,chromosome segregation [GO:0007059],PP_RS00005,parB,parB,Belongs to the ParB family,L,-,-,ko:K03497,-,par,True,"['TNTHAC2', 'Cotpp', 'ETOHtrpp', 'MEOHtex', 'FE3PYOVDL2', 'FE3PYOVDL', 'G5SADs', 'TNTHAC1', 'ARBTNexs', 'MEOHtrpp', 'CMCBTFexs', 'FEOXAMexs', 'METOX2s', 'O2tex', 'MCBTFUexs', 'SO2tpp', 'ATPHs', 'AALDCDLsi', 'TCYNTtpp', 'AADSACYCL', 'O2tpp', '1P2CBXLCYCL', 'FALGTHLs', 'COt_1', 'AOBUTDs', 'CO2tpp', 'H2O2tex', 'H2CO3D2', 'OHCUDC2', 'H2Otex', 'AOXHEXCYCL', 'OMCDC', 'CO2tex', 'DATPHs', 'GTPHs', 'FE3DCITCH', 'FEENTERexs', 'FECRMexs', 'H2SO', 'METOX1s', 'H2Otpp']","['Unassigned', 'S_Alternate_Carbon_and_Nitrogen_source__Nucleotide_Metabolism', 'S_Valine__Leucine__and_Isoleucine_Metabolism', 'S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism', 'S_Sulfur_Metabolism', 'S_Glycine__Serine_and_threonine_metabolism', 'S_Transport__Inner_Membrane', 'S_Arginine_and_Proline_Metabolism', 'S_Lysine_Metabolism', 'S_Formaldehyde_Metabolism', 'S_Transport__Outer_Membrane', 'S_Purine_Metabolism', 'S_Xenobiotic_tolerance', 'S_Pyrimidine_Metabolism', 'S_Iron_uptake_and_metabolism']",41,15,Unassigned,True,58.02615333333333,1.0379815079474195,False,0.0777535033972046,False
1,PP_0103,Q88RM6,unreviewed,Q88RM6_PSEPK,Cytochrome c oxidase subunit 2 (EC 7.1.1.9),PP_0103,copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037],plasma membrane [GO:0005886]; respirasome [GO:0070469]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037],GO:0004129; GO:0005507; GO:0005886; GO:0020037; GO:0070469,plasma membrane [GO:0005886]; respirasome [GO:0070469],,PP_RS00525,coxB,PP_0103,Subunits I and II form the functional core of the enzyme complex. Electrons originating in cytochrome c are transferred via heme a and Cu(A) to the binuclear center formed by heme a3 and Cu(B),C,-,1.9.3.1,ko:K02275,R00081,cox,True,['CYTCAA3pp'],['S_Oxidative_Phosphorylation'],1,1,S_Oxidative_Phosphorylation,True,183.52166666666668,0.1995159225060039,False,,False
2,PP_0104,Q88RM5,unreviewed,Q88RM5_PSEPK,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),ctaD PP_0104,cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872],plasma membrane [GO:0005886]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119],GO:0004129; GO:0005886; GO:0006119; GO:0015990; GO:0020037; GO:0045277; GO:0046872,plasma membrane [GO:0005886]; respiratory chain complex IV [GO:0045277],electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119],PP_RS00530,ctaD,ctaD,Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B,C,-,"1.10.3.10,1.9.3.1","ko:K02274,ko:K02298,ko:K15408","R00081,R11335",cta,True,['CYTCAA3pp'],['S_Oxidative_Phosphorylation'],1,1,S_Oxidative_Phosphorylation,True,130.41475666666668,1.1111251100227542,False,,False
3,PP_0105,Q88RM4,unreviewed,Q88RM4_PSEPK,Cytochrome c oxidase assembly protein CtaG,PP_0105,copper ion binding [GO:0005507],plasma membrane [GO:0005886]; copper ion binding [GO:0005507],GO:0005507; GO:0005886,plasma membrane [GO:0005886],,PP_RS00535,ctaG,PP_0105,cytochrome c oxidase assembly protein,O,-,-,ko:K02258,-,cta,True,['CYTCAA3pp'],['S_Oxidative_Phosphorylation'],1,1,S_Oxidative_Phosphorylation,True,144.83524333333332,0.959635605019331,False,,False
4,PP_0106,Q88RM3,unreviewed,Q88RM3_PSEPK,cytochrome-c oxidase (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III),PP_0106,cytochrome-c oxidase activity [GO:0004129],plasma membrane [GO:0005886]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646],GO:0004129; GO:0005886; GO:0019646,plasma membrane [GO:0005886],aerobic electron transport chain [GO:0019646],PP_RS00540,coxC,PP_0106,oxidase subunit,C,-,1.9.3.1,ko:K02276,R00081,cox,True,['CYTCAA3pp'],['S_Oxidative_Phosphorylation'],1,1,S_Oxidative_Phosphorylation,True,125.03137666666667,1.086635722865538,False,,False
5,PP_0168,Q88RG2,unreviewed,Q88RG2_PSEPK,Surface adhesion protein,PP_0168,calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509,,,PP_RS00900,-,PP_0168,"von Willebrand factor, type A",Q,-,-,ko:K12549,-,-,False,,[],0,0,-,False,196.2886,1.130543345863739,True,0.0254000181281143,False
6,PP_0225,Q88RA8,unreviewed,Q88RA8_PSEPK,Sulfur compound ABC transporter-ATP-binding subunit,sctC PP_0225,ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],plasma membrane [GO:0005886]; ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],GO:0005524; GO:0005886; GO:0015424; GO:0016887,plasma membrane [GO:0005886],,PP_RS01195,yecC,sctC,ABC transporter,E,"GO:0000099,GO:0000101,GO:0000166,GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008144,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015179,GO:0015184,GO:0015318,GO:0015711,GO:0015804,GO:0015807,GO:0015811,GO:0015849,GO:0016020,GO:0017076,GO:0022857,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034220,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072337,GO:0072348,GO:0072349,GO:0097159,GO:0097367,GO:0098656,GO:1901265,GO:1901363,GO:1901682,GO:1902475,GO:1903825,GO:1905039",3.6.3.21,"ko:K02028,ko:K02029,ko:K09972,ko:K10004,ko:K10010",-,yec,True,['CYSabcpp'],['S_Transport__ABC_system'],1,1,S_Transport__ABC_system,True,119.71611666666666,1.7938266335715118,False,,False
7,PP_0226,Q88RA7,unreviewed,Q88RA7_PSEPK,Sulfur compound ABC transporter-permease subunit,sctS PP_0226,transmembrane transporter activity [GO:0022857],ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865],GO:0006865; GO:0022857; GO:0043190,ATP-binding cassette (ABC) transporter complex [GO:0043190],amino acid transport [GO:0006865],PP_RS01200,yecS,sctS,amino acid ABC transporter,P,"GO:0000099,GO:0000101,GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006791,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015179,GO:0015184,GO:0015318,GO:0015711,GO:0015804,GO:0015807,GO:0015811,GO:0015849,GO:0016020,GO:0022857,GO:0034220,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072337,GO:0072348,GO:0072349,GO:0098656,GO:1901682,GO:1902475,GO:1903825,GO:1905039",-,"ko:K02029,ko:K10009",-,yec,True,['CYSabcpp'],['S_Transport__ABC_system'],1,1,S_Transport__ABC_system,True,139.63549666666665,1.1320590042181895,True,0.0622871226013988,False
8,PP_0277,Q88R57,unreviewed,Q88R57_PSEPK,Lipoprotein,PP_0277,,,,,,PP_RS01470,-,PP_0277,-,-,-,-,-,-,-,False,,[],0,0,-,False,126.6611,0.9220054481287884,False,,False
9,PP_0338,Q88QZ6,unreviewed,Q88QZ6_PSEPK,Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12),aceF PP_0338,dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]; oxidoreductase activity [GO:0016491],pyruvate dehydrogenase complex [GO:0045254]; dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]; oxidoreductase activity [GO:0016491]; glycolytic process [GO:0006096],GO:0004742; GO:0006096; GO:0016491; GO:0045254,pyruvate dehydrogenase complex [GO:0045254],glycolytic process [GO:0006096],PP_RS01795,aceF,aceF,The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2),C,-,2.3.1.12,ko:K00627,"R00209,R02569",ace,True,['PDH'],['S_Glycolysis'],1,1,S_Glycolysis,False,211.48542333333333,0.0199230938813468,False,0.8241831489958793,False
